locality_pid,gnaf_locality_pid,date_created,date_retired,locality_name,postcode,locality_class
VIC742,250184737,12/5/18,,DEVILS RIVER,3714,GAZETTED LOCALITY
VIC743,250184738,8/11/16,,DEVON MEADOWS,3977,GAZETTED LOCALITY
VIC744,250184739,2/5/17,,DEVON NORTH,3971,GAZETTED LOCALITY
VIC745,250184740,27/4/12,,DEWHURST,3808,GAZETTED LOCALITY
VIC746,250184741,27/4/12,,DHURRINGILE,3610,GAZETTED LOCALITY
VIC747,250184742,3/8/18,,DIAMOND CREEK,3089,GAZETTED LOCALITY
VIC748,250177639,27/4/12,,DIGBY,3309,GAZETTED LOCALITY
VIC749,250184743,3/8/18,,DIGGERS REST,3427,GAZETTED LOCALITY
VIC750,250184744,31/1/14,,DIGGORA,3561,GAZETTED LOCALITY
VIC751,250184746,27/4/12,,DIMBOOLA,3414,GAZETTED LOCALITY
VIC752,250177644,2/5/17,,DINGEE,3571,GAZETTED LOCALITY
VIC753,250184747,27/4/12,,DINGLEY VILLAGE,3172,GAZETTED LOCALITY
VIC754,250177646,27/4/12,,DINGWALL,3579,GAZETTED LOCALITY
VIC755,250184748,27/4/12,,DINNER PLAIN,3898,GAZETTED LOCALITY
VIC756,250184749,27/4/12,,DIXIE,3265,GAZETTED LOCALITY
VIC757,250184750,27/4/12,,DIXONS CREEK,3775,GAZETTED LOCALITY
VIC758,250184751,27/4/12,,DOBIE,3377,GAZETTED LOCALITY
VIC759,250184752,27/4/12,,DOCKER,3678,GAZETTED LOCALITY
VIC760,250184753,27/4/12,,DOCKERS PLAINS,3678,GAZETTED LOCALITY
VIC761,250184754,2/2/17,,DOCKLANDS,3008,GAZETTED LOCALITY
VIC762,250177654,27/4/12,,DOCTORS FLAT,3895,GAZETTED LOCALITY
VIC763,250184755,27/4/12,,DOLLAR,3871,GAZETTED LOCALITY
